relative_path,code_lines,num_classes,num_functions,file_complexity,avg_function_complexity,max_function_complexity,commits_last_12months,bugfix_commits,is_god_class,has_layer_mixing,has_cross_layer_imports,hotspot_score,priority_tier
app/infrastructure/patterns/circuit_breaker.py,91,4,8,16,2.0,4,1,0,False,False,False,0.4557,MEDIUM
app/services/llm/circuit_breaker.py,68,1,6,15,2.5,7,1,0,False,False,False,0.4522,MEDIUM
app/services/chat/handlers/system_handler.py,87,0,2,15,7.5,14,1,0,False,False,False,0.4522,MEDIUM
app/services/database_service.py,62,1,11,14,1.27,2,1,0,False,False,False,0.4487,MEDIUM
app/services/chat/handlers/search_handler.py,67,0,1,14,14.0,14,1,0,False,False,False,0.4487,MEDIUM
app/services/chat/security.py,68,2,2,13,6.5,9,1,0,False,False,False,0.4452,MEDIUM
app/services/maestro/refactored/client.py,107,1,5,13,2.6,5,1,0,False,False,False,0.4452,MEDIUM
app/services/agent_tools/refactored/tool.py,63,2,6,12,2.0,4,1,0,False,False,False,0.4417,MEDIUM
app/services/history_service.py,85,0,2,11,5.5,8,1,0,False,False,False,0.4383,MEDIUM
app/services/metrics/calculators/drift.py,50,4,4,11,2.75,5,1,0,False,False,False,0.4383,MEDIUM
app/services/duplication_buster.py,53,1,4,10,2.5,4,1,0,False,False,False,0.4348,MEDIUM
app/services/resilience/circuit_breaker.py,108,4,5,10,2.0,4,1,0,False,False,False,0.4348,MEDIUM
app/services/agent_tools/memory_tools.py,49,0,2,10,5.0,7,1,0,False,False,False,0.4348,MEDIUM
app/services/chat/context_service.py,58,1,6,10,1.67,3,1,0,False,False,False,0.4348,MEDIUM
app/services/chat/intent.py,119,3,1,10,10.0,10,1,0,False,False,False,0.4348,MEDIUM
app/services/chat/answering/llm_invoker.py,27,1,4,10,2.5,6,1,0,False,False,False,0.4348,MEDIUM
app/services/chat/refactored/intent_detector.py,57,2,6,10,1.67,4,1,0,False,False,False,0.4348,MEDIUM
app/api/routers/ai_service.py,60,1,4,9,2.25,3,1,0,False,False,False,0.4313,MEDIUM
app/services/resilience/timeout.py,63,3,5,9,1.8,3,1,0,False,False,False,0.4313,MEDIUM
app/services/resilience/bulkhead.py,83,4,3,9,3.0,6,1,0,False,False,False,0.4313,MEDIUM
app/services/maestro/refactored/retry_policy.py,62,2,3,9,3.0,5,1,0,False,False,False,0.4313,MEDIUM
app/services/resilience/health.py,76,4,3,8,2.67,5,1,0,False,False,False,0.4278,MEDIUM
app/services/resilience/fallback.py,57,2,3,7,2.33,4,1,0,False,False,False,0.4243,MEDIUM
app/services/agent_tools/structural_tools.py,50,0,2,7,3.5,4,1,0,False,False,False,0.4243,MEDIUM
app/api/routers/chat.py,36,0,1,6,6.0,6,1,0,False,False,False,0.4209,MEDIUM
app/services/chat/refactored/orchestrator.py,83,1,3,6,2.0,3,1,0,False,False,False,0.4209,MEDIUM
app/infrastructure/config/env_reader.py,27,0,4,6,1.5,2,1,0,False,False,False,0.4209,MEDIUM
app/api/routers/observability.py,17,0,5,5,1.0,1,1,0,False,False,False,0.4174,MEDIUM
app/services/agent_tools/definitions.py,111,1,3,5,1.67,2,1,0,False,False,False,0.4174,MEDIUM
app/services/chat/answering/answer_orchestrator.py,39,1,2,5,2.5,4,1,0,False,False,False,0.4174,MEDIUM
app/services/chat/answering/question_validator.py,12,1,1,5,5.0,5,1,0,False,False,False,0.4174,MEDIUM
app/api/routers/gateway.py,14,0,4,4,1.0,1,1,0,False,False,False,0.4139,MEDIUM
app/services/chat/answering/response_validator.py,11,1,1,4,4.0,4,1,0,False,False,False,0.4139,MEDIUM
app/api/dependencies.py,21,0,1,3,3.0,3,1,0,False,False,False,0.4104,MEDIUM
app/api/v2/endpoints/health.py,39,0,3,3,1.0,1,1,0,False,False,False,0.4104,MEDIUM
app/services/system_service.py,14,1,2,3,1.5,2,1,0,False,False,False,0.4104,MEDIUM
app/services/chat/answering/error_handler.py,25,2,1,3,3.0,3,1,0,False,False,False,0.4104,MEDIUM
app/services/chat/answering/context_retriever.py,17,1,2,3,1.5,2,1,0,False,False,False,0.4104,MEDIUM
app/api/v2/schemas.py,51,6,1,2,2.0,2,1,0,False,False,False,0.407,MEDIUM
app/services/chat/refactored/context.py,25,1,2,2,1.0,1,1,0,False,False,False,0.407,MEDIUM
app/services/chat/handlers/genesis_handler.py,26,0,1,2,2.0,2,1,0,False,False,False,0.407,MEDIUM
app/api/middleware.py,7,0,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/api/main.py,6,0,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/api/exceptions.py,6,0,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/api/v2/router.py,15,0,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/services/ai_service_gateway.py,21,0,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/services/chat/telemetry.py,25,1,1,1,1.0,1,1,0,False,False,False,0.4035,MEDIUM
app/api/v2/__init__.py,5,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/api/v2/endpoints/__init__.py,1,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/chat_orchestrator_service.py,19,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/distributed_resilience_service.py,70,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/ai_model_metrics_service.py,33,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/deployment_orchestrator_service.py,38,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/__init__.py,0,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/admin/__init__.py,0,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/metrics/types.py,132,11,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/resilience/__init__.py,77,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/deployment/types.py,106,11,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/deployment/__init__.py,54,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/overmind/__init__.py,0,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/agent_tools/globals.py,20,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/chat/__init__.py,19,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/maestro/refactored/__init__.py,7,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/execution/retry/__init__.py,3,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/agent_tools/refactored/__init__.py,7,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/chat/answering/__init__.py,16,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/services/chat/refactored/__init__.py,7,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/infrastructure/patterns/__init__.py,32,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
app/infrastructure/config/__init__.py,8,0,0,0,0,0,1,0,False,False,False,0.4,MEDIUM
